league,season,team,player,nation,pos,age,born,MP,Starts,Min,90s,npGoals,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,AvgShotDistance,FKShots,PK,PKsAtt,xG,npxG,npxG/Sh,G-xG,npG-xG,PassesCompleted,PassesAttempted,TotCmp%,TotalPassDist,ProgPassDist,ShortPassCmp,ShortPassAtt,ShortPassCmp%,MedPassCmp,MedPassAtt,MedPassCmp%,LongPassCmp,LongPassAtt,LongPassCmp%,Assists,xAG,xA,A-xAG,KeyPasses,Final1/3Cmp,PenAreaCmp,CrsPenAreaCmp,ProgPasses,LivePass,DeadPass,FKPasses,ThruBalls,Switches,Crs,ThrowIn,CornerKicks,InSwingCK,OutSwingCK,StraightCK,PassesOffside,PassesBlocked,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef,Tkl,TklWinPoss,Def3rdTkl,Mid3rdTkl,Att3rdTkl,DrbTkl,DrbPastAtt,DrbTkl%,DrbPast,Blocks,ShBlocks,PassBlocks,Int,Tkl+Int,Clr,Err,Touches,DefPenTouch,Def3rdTouch,Mid3rdTouch,Att3rdTouch,AttPenTouch,LiveTouch,AttDrb,SuccDrb,DrbSucc%,TimesTackled,TimesTackled%,Carries,TotalCarryDistance,ProgCarryDistance,ProgCarries,CarriesToFinalThird,CarriesToPenArea,CarryMistakes,Disposesed,ReceivedPass,ProgPassesRec,Yellows,Reds,Yellow2,Fouls,FoulsDrawn,Offside,PKwon,PKcon,OG,Recov,AerialWins,AerialLoss,AerialWin%
ENG-Premier League,2223,Arsenal,Aaron Ramsdale,ENG,GK,24.0,1998.0,38,38,3420,38.0,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,761,1111,68.5,18974,13109,190,196,96.9,383,390,98.2,186,519,35.8,0.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,8.0,872,237,83,0,6,0,1,0,0,0,0,2,3,3,0.08,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0.0,1.0,20.0,6.0,1196,872,1170,28,0,0,1196,1,1,100.0,0,0.0,722,3934,2459,0,1,0,0,0,629,0,1,0,0,0,4,0,0,0,0,33,6,0,100.0
ENG-Premier League,2223,Arsenal,Albert Sambi Lokonga,BEL,MF,22.0,1999.0,6,2,198,2.2,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,132,140,94.3,2321,539,59,62,95.2,60,63,95.2,11,12,91.7,0.0,0.0,0.1,0.0,1.0,17.0,1.0,0.0,12.0,135,5,5,1,1,0,0,0,0,0,0,0,1,4,1.82,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0,1,1,0,0,1,0,2,0.0,2,1,0,1,5.0,6.0,2.0,0.0,154,6,32,95,29,0,154,2,1,50.0,0,0.0,96,393,145,0,6,0,1,1,113,2,0,0,0,1,5,0,0,0,0,14,3,2,60.0
ENG-Premier League,2223,Arsenal,Ben White,ENG,DF,24.0,1997.0,38,36,3055,33.9,2,2,10,2,20.0,0.29,0.06,0.2,1.0,16.7,0,0,0,1.3,1.3,0.13,0.7,0.7,1888,2242,84.2,31271,10700,893,974,91.7,851,972,87.6,107,205,52.2,5.0,3.2,3.7,1.8,26.0,226.0,42.0,12.0,249.0,1951,285,57,6,13,57,228,0,0,0,0,6,27,64,1.89,56,7,0,0,1,0,13,0.38,12,1,0,0,0,0,60,31,23,30,7,42,70,60.0,28,47,11,36,22.0,82.0,79.0,1.0,2532,103,554,1305,685,48,2532,29,8,27.6,15,51.7,1448,6506,3565,64,46,3,27,7,1698,124,5,0,0,28,30,1,0,0,0,155,33,41,44.6
ENG-Premier League,2223,Arsenal,Bukayo Saka,ENG,FW,20.0,2001.0,38,37,3181,35.3,12,14,86,29,33.7,2.43,0.82,0.14,0.41,16.3,1,2,3,11.2,9.1,0.11,2.8,2.9,1054,1430,73.7,15405,3694,653,753,86.7,292,378,77.2,70,164,42.7,11.0,8.5,5.8,2.5,75.0,50.0,66.0,12.0,109.0,1297,131,11,2,3,172,21,99,76,0,2,2,62,161,4.56,106,27,8,11,7,2,28,0.79,20,4,2,1,0,1,63,34,22,15,26,20,44,45.5,24,38,0,38,14.0,77.0,19.0,0.0,1882,21,160,474,1270,237,1879,161,61,37.9,69,42.9,1191,8403,4557,179,92,84,78,59,1361,520,6,0,0,43,65,9,0,0,0,127,16,38,29.6
ENG-Premier League,2223,Arsenal,Cédric Soares,POR,DF,30.0,1991.0,2,0,29,0.3,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,19,24,79.2,257,54,10,10,100.0,8,10,80.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23,1,0,0,0,3,1,0,0,0,0,0,0,1,3.1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,0.0,0.0,1.0,0.0,27,2,8,9,10,0,27,0,0,,0,,14,87,67,1,2,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
ENG-Premier League,2223,Arsenal,Eddie Nketiah,ENG,FW,23.0,1999.0,30,9,1089,12.1,4,4,41,14,34.1,3.39,1.16,0.1,0.29,11.3,0,0,0,8.2,8.2,0.2,-4.2,-4.2,205,255,80.4,2894,350,131,151,86.8,58,69,84.1,9,12,75.0,1.0,1.3,1.3,-0.3,9.0,9.0,6.0,0.0,15.0,231,24,0,0,1,5,0,0,0,0,0,0,11,29,2.4,14,0,6,6,3,0,3,0.25,2,0,0,0,1,0,13,9,6,2,5,2,8,25.0,6,7,1,6,1.0,14.0,7.0,0.0,407,10,35,157,221,87,407,34,15,44.1,13,38.2,259,1682,603,32,16,22,30,20,305,82,3,0,0,30,25,8,1,0,0,30,10,31,24.4
ENG-Premier League,2223,Arsenal,Emile Smith Rowe,ENG,"MF,FW",22.0,2000.0,12,0,172,1.9,0,0,4,1,25.0,2.09,0.52,0.0,0.0,15.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3,74,85,87.1,1070,240,44,48,91.7,24,28,85.7,5,6,83.3,2.0,0.7,0.6,1.3,6.0,3.0,4.0,0.0,7.0,81,4,0,0,0,5,0,4,2,0,0,0,1,9,4.68,6,1,0,2,0,0,1,0.52,1,0,0,0,0,0,1,1,1,0,0,1,3,33.3,2,1,0,1,0.0,1.0,2.0,0.0,102,1,14,37,51,9,102,5,2,40.0,3,60.0,68,303,119,2,1,0,0,4,71,11,0,0,0,1,1,1,0,0,0,8,0,2,0.0
ENG-Premier League,2223,Arsenal,Ethan Nwaneri,ENG,FW,15.0,2007.0,1,0,1,0.0,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0.0,0.0,0.0,0.0,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENG-Premier League,2223,Arsenal,Fabio Vieira,POR,"MF,FW",22.0,2000.0,22,3,514,5.7,1,1,15,2,13.3,2.63,0.35,0.07,0.5,20.1,0,0,0,0.8,0.8,0.06,0.2,0.2,234,290,80.7,3557,834,129,142,90.8,84,99,84.8,9,25,36.0,2.0,2.5,1.4,-0.5,12.0,26.0,7.0,2.0,35.0,276,14,7,2,0,20,3,4,3,1,0,0,7,23,4.03,17,2,2,2,0,0,3,0.53,3,0,0,0,0,0,6,4,3,0,3,3,5,60.0,2,5,0,5,4.0,10.0,2.0,0.0,356,6,27,162,170,27,356,18,6,33.3,11,61.1,215,868,327,8,8,1,13,8,255,40,0,0,0,3,5,0,0,0,0,34,3,5,37.5
ENG-Premier League,2223,Arsenal,Gabriel Dos Santos,BRA,DF,24.0,1997.0,38,38,3409,37.9,3,3,32,9,28.1,0.84,0.24,0.09,0.33,11.9,0,0,0,5.1,5.1,0.16,-2.1,-2.1,2155,2411,89.4,38355,13522,870,922,94.4,1111,1180,94.2,150,246,61.0,0.0,0.3,0.6,-0.3,5.0,171.0,3.0,0.0,153.0,2318,89,60,1,11,5,6,0,0,0,0,4,19,24,0.63,21,0,0,2,0,1,2,0.05,2,0,0,0,0,0,48,30,29,15,4,18,27,66.7,9,49,26,23,32.0,80.0,125.0,2.0,2776,307,1153,1419,215,53,2776,3,2,66.7,0,0.0,1746,8780,5471,18,43,3,19,4,1934,16,5,0,0,26,40,1,0,2,0,191,100,76,56.8
